DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2005,2004,SSV3,0,2005-03-31,INR,25340000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2005,2004,TTL_RECEIPTS,0,2005-03-31,INR,1585190000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2006,2005,SSV1,0,2006-03-31,INR,3069860000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2006,2005,SSV2,0,2006-03-31,INR,2037710000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2006,2005,SSV3,0,2006-03-31,INR,168720000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2006,2005,TTL_OUTSTNDINGS,0,2006-03-31,INR,5276290000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2006,2005,SSV1,0,2006-03-31,INR,1304470000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2006,2005,SSV2,0,2006-03-31,INR,398120000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2006,2005,SSV3,0,2006-03-31,INR,30240000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2006,2005,TTL_RECEIPTS,0,2006-03-31,INR,1732830000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2007,2006,SSV1,0,2007-03-31,INR,3321300000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2007,2006,SSV2,0,2007-03-31,INR,2127850000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2007,2006,SSV3,0,2007-03-31,INR,194570000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2007,2006,TTL_OUTSTNDINGS,0,2007-03-31,INR,5643720000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2007,2006,SSV1,0,2007-03-31,INR,1163030000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2007,2006,SSV2,0,2007-03-31,INR,345320000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2007,2006,SSV3,0,2007-03-31,INR,40650000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2007,2006,TTL_RECEIPTS,0,2007-03-31,INR,1549000000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2008,2007,SSV1,0,2008-03-31,INR,3240770000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2008,2007,SSV2,0,2008-03-31,INR,2089760000000.0002
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2008,2007,SSV3,0,2008-03-31,INR,213580000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2008,2007,TTL_OUTSTNDINGS,0,2008-03-31,INR,5544110000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2008,2007,SSV1,0,2008-03-31,INR,1042500000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2008,2007,SSV2,0,2008-03-31,INR,213640000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2008,2007,SSV3,0,2008-03-31,INR,33470000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2008,2007,TTL_RECEIPTS,0,2008-03-31,INR,1289610000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2009,2008,SSV1,0,2009-03-31,INR,3186580000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2009,2008,SSV2,0,2009-03-31,INR,2038130000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2009,2008,SSV3,0,2009-03-31,INR,234020000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2009,2008,TTL_OUTSTNDINGS,0,2009-03-31,INR,5458730000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2009,2008,SSV1,0,2009-03-31,INR,1207700000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2009,2008,SSV2,0,2009-03-31,INR,223900000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2009,2008,SSV3,0,2009-03-31,INR,36520000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2009,2008,TTL_RECEIPTS,0,2009-03-31,INR,1468120000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2010,2009,SSV1,0,2010-03-31,INR,3480260000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2010,2009,SSV2,0,2010-03-31,INR,2096670000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2010,2009,SSV3,0,2010-03-31,INR,260959999999.99997
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,2010,2009,TTL_OUTSTNDINGS,0,2010-03-31,INR,5837890000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2010,2009,SSV1,0,2010-03-31,INR,1796830000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2010,2009,SSV2,0,2010-03-31,INR,316830000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,2010,2009,SSV3,0,2010-03-31,INR,41960000000
