DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1994,1993,0,1994-03-31,INR,249540000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1993,1992,0,1993-03-31,INR,72020000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1993,1992,0,1993-03-31,INR,187430000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1993,1992,0,1993-03-31,INR,95560000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1993,1992,0,1993-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1993,1992,0,1993-03-31,INR,778850000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1993,1992,0,1993-03-31,INR,92800000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1993,1992,0,1993-03-31,INR,255320000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1993,1992,0,1993-03-31,INR,98460000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1993,1992,0,1993-03-31,INR,-22740000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,1992,1991,0,1992-03-31,INR,625880000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,1992,1991,0,1992-03-31,INR,70320000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1992,1991,0,1992-03-31,INR,179650000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,1992,1991,0,1992-03-31,INR,122470000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,1992,1991,0,1992-03-31,INR,78920000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,1992,1991,0,1992-03-31,INR,132770000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,1992,1991,0,1992-03-31,INR,132250000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1992,1991,0,1992-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,1992,1991,0,1992-03-31,INR,-90000000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,1991,1990,0,1991-03-31,INR,137360000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,1991,1990,0,1991-03-31,INR,0.0
