DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_BUG_RESOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR12,0,1994-03-31,INR,-3410000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR2,0,1994-03-31,INR,322850000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,TTL_BUG_RESOURCES,0,1994-03-31,INR,450510000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR11,0,1994-03-31,INR,131061000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR13,0,1994-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1994,1993,BR21,0,1994-03-31,INR,231963000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR13,0,1993-03-31,INR,0.0
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR11,0,1993-03-31,INR,116429000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR12,0,1993-03-31,INR,2317000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR22,0,1993-03-31,INR,47304000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR21,0,1993-03-31,INR,196513000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,TTL_BUG_RESOURCES,0,1993-03-31,INR,376490000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR2,0,1993-03-31,INR,257740000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR1,0,1993-03-31,INR,118750000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1993,1992,BR23,0,1993-03-31,INR,13923000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1992,1991,BR22,0,1992-03-31,INR,47643000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1992,1991,BR21,0,1992-03-31,INR,193765000000
RBI:BUD_RESOR_RN(1.0),N_A,AFY,1992,1991,BR2,0,1992-03-31,INR,259060000000
