DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2023-03-24,INR,467300000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2023-02-24,INR,83500000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2023-02-24,INR,152330000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2023-02-24,INR,21070000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2023-02-24,INR,256900000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2023-01-27,INR,273700000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2023-01-27,INR,16750000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2023-01-27,INR,365450000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2023-01-27,INR,75000000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-12-30,INR,510000000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-12-30,INR,332240000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-12-30,INR,23760000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-12-30,INR,154000000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-11-18,INR,32500000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-11-18,INR,159010000000
