DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2006,2005,0,2006-03-31,PT,11.850062
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2006,2005,0,2006-03-31,PT,32.386437
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2006,2005,0,2006-03-31,PT,-2.283624
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2006,2005,0,2006-03-31,PT,-0.189277
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2006,2005,0,2006-03-31,PT,16.932962
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2006,2005,0,2006-03-31,PT,18.62392
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2007,2006,0,2007-03-31,PT,21.715264
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2007,2006,0,2007-03-31,PT,17.162447
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2007,2006,0,2007-03-31,PT,17.225722
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2007,2006,0,2007-03-31,PT,17.127039
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2007,2006,0,2007-03-31,PT,-58.603427
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2007,2006,0,2007-03-31,PT,25.748057
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2007,2006,0,2007-03-31,PT,26.079062
