DATAFLOW,AUDST,BASE_PER,CURR_BASK_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_RATE,TYP_TRD_WTS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-10-31,IX,101.09
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-10-31,IX,70.54
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-10-31,IX,99.93
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-10-31,IX,101.13
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-10-31,IX,101.09
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-11-30,IX,100.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-11-30,IX,101.24
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-11-30,IX,70.3
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-11-30,IX,100.08
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-11-30,IX,100.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2004,2003,REER,TRD_WTS,2003-11-30,IX,101.24
