DATAFLOW,AUDST,FREQ,INF_OUT_DEP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2005,2004,0,2005-03-31,INR,22110000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRNRRD,2005,2004,0,2005-03-31,INR,-69100000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2005,2004,0,2005-03-31,USD,492000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2005,2004,0,2005-03-31,USD,84000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRNRRD,2005,2004,0,2005-03-31,USD,-1538000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2005,2004,0,2005-03-31,INR,3770000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2005,2004,0,2005-03-31,INR,-43220000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2005,2004,0,2005-03-31,USD,-962000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRNRRD,2004,2003,0,2004-03-31,USD,-1816000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2004,2003,0,2004-03-31,INR,167310000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2004,2003,0,2004-03-31,USD,3641000000
