DATAFLOW,AUDST,FREQ,INTL_INV_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIT_LIB,2006,2005,0,2006-03-31,INR,10890777400000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIT_LIB,2006,2005,0,2006-03-31,USD,244157690000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_ECRE_CAE,2007,2006,0,2006-06-30,INR,706828700000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_ECRE_CAE,2007,2006,0,2006-06-30,USD,15337500000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_EQT_CAP_RE,2007,2006,0,2006-06-30,INR,706828700000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_EQT_CAP_RE,2007,2006,0,2006-06-30,USD,15337500000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OC_CAE,2007,2006,0,2006-06-30,INR,102762600000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OC_CAE,2007,2006,0,2006-06-30,USD,2229850000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OTH_CAP,2007,2006,0,2006-06-30,INR,102762600000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIA_OTH_CAP,2007,2006,0,2006-06-30,USD,2229850000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_ECRE_LDI,2007,2006,0,2006-06-30,INR,2343056000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_ECRE_LDI,2007,2006,0,2006-06-30,USD,50842050000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_EQT_CAP_RE,2007,2006,0,2006-06-30,INR,2343056000000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_EQT_CAP_RE,2007,2006,0,2006-06-30,USD,50842050000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_INV_RE,2007,2006,0,2006-06-30,INR,2497064400000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_INV_RE,2007,2006,0,2006-06-30,USD,54183880000
RBI:INTR_INV_POS_IND_RN(1.0),N_A,QFY,IIA_DIRE_OC_LDI,2007,2006,0,2006-06-30,INR,154008400000
