DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,CH,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1990000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,FR,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,1030000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,70000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,550000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,11310000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,4870000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,19870000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GG,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,280000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,3020000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,4270000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,1940000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,6490000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,IE,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,550000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,JP,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1380000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,JP,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,2050000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,KR,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1840000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,KR,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,1140000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,KW,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1070000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,KY,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,530000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,LK,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,LU,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,24010000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,250000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,1920000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,9030000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,9330000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MY,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,60000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OM,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,2990000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OM,AFY,FLA_FR_LIB,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,5270000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_ASS,MRKT_VAL,2011,2010,ASST_MGMT_COMP,0,2011-03-31,INR,280000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_EHA,MRKT_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,2300000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_LIB,FAC_VAL,2011,2010,MTL_FND_COMP,0,2011-03-31,INR,117760000000
