DATAFLOW,AUDST,FREQ,HI_LW_AVG_RATES_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2021-01-31,INR,3.185875
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2021-01-31,INR,3.75
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2021-01-31,INR,1.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-12-31,INR,3.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-12-31,INR,3.17934
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-12-31,INR,1.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-11-30,INR,1.75
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-11-30,INR,3.152468
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-11-30,INR,3.9
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-10-31,INR,3.342965
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-10-31,INR,4.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-10-31,INR,1.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-09-30,INR,3.410451
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-09-30,INR,4.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-09-30,INR,1.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-08-31,INR,4.1
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-08-31,INR,3.430299
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-08-31,INR,1.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-07-31,INR,4.15
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-07-31,INR,1.8
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-07-31,INR,3.47254
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-06-30,INR,3.567759
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-06-30,INR,1.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-06-30,INR,4.45
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-05-31,INR,1.8
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-05-31,INR,3.832754
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-05-31,INR,5.0
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2021,2020,0,2020-04-30,INR,5.25
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2021,2020,0,2020-04-30,INR,0.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2021,2020,0,2020-04-30,INR,4.158159
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2020,2019,0,2020-03-31,INR,4.941187
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2020,2019,0,2020-03-31,INR,6.2
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2020,2019,0,2020-03-31,INR,0.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,AVERAGE_RATE,2020,2019,0,2020-02-29,INR,4.975424
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,LOW_RATE,2020,2019,0,2020-02-29,INR,3.5
RBI:WAR_CALL_MONEY_RN(1.0),N_A,M,HIGH_RATE,2020,2019,0,2020-02-29,INR,5.4
