DATAFLOW,AUDST,BASE_PER,FREQ,NAT_INC_INDC_RN,PRC_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GROSS_DOM_CAP_FRM,CNST_PRC,1987,1986,0,1987-03-31,INR,1799710000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GROSS_DOM_CAP_FRM,CURR_PRC,1987,1986,0,1987-03-31,INR,643910000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_GROSS_DOM_SAV,CURR_PRC,1987,1986,0,1987-03-31,INR,580360000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_IND_TX_LES_SUB,CNST_PRC,1987,1986,0,1987-03-31,INR,864540000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_IND_TX_LES_SUB,CURR_PRC,1987,1986,0,1987-03-31,INR,311350000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDP_FACT_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,7694060000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDP_FACT_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,2547460000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDP_MARK_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,8558600000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDP_MARK_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,2858810000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDP_PUB_CST,CNST_PRC,1987,1986,0,1987-03-31,INR,1701940000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDP_PUB_CST,CURR_PRC,1987,1986,0,1987-03-31,INR,581540000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NDS,CURR_PRC,1987,1986,0,1987-03-31,INR,291010000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NET_DOM_CAP_FRM,CNST_PRC,1987,1986,0,1987-03-31,INR,991610000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NET_DOM_CAP_FRM,CURR_PRC,1987,1986,0,1987-03-31,INR,354560000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NET_FAC_INC_ABR,CNST_PRC,1987,1986,0,1987-03-31,INR,-61640000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NET_FAC_INC_ABR,CURR_PRC,1987,1986,0,1987-03-31,INR,-18050000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NNP_FACT_PRC,CNST_PRC,1987,1986,0,1987-03-31,INR,7632420000000
RBI:MACRO_ECN_AGG_RN(1.0),N_A,BY_1999_2000,AFY,NII_NNP_FACT_PRC,CURR_PRC,1987,1986,0,1987-03-31,INR,2529410000000
