DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_HKG,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1671445819364
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_CAN,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,357259031519
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_SUD,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,35918829202
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_OECD_NA_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,2869034652
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_USA,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,3862410319244
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,8092448937191
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_BEN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,130514841
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SAARC,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,2204338176682
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_FRA,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,612569640419
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_SIN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1800911277526
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_ITL,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,653533003023
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC_KUW,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,163781410334
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,11543324330
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_CAN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,4448646162
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_SAF,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,890208980147
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_SAF,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,630167271410
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_EE_RUS,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,63843556395
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_EU_UK,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,14549710705
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SA_SRI_LNK,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,110405765218
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,5145746882429
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_AS_OC_JAP,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,6249085505
