DATAFLOW,AUDST,COMP_COUNT,COUNTRYCODE,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,75.8
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_TO_PREV,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,28.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,AUTR_EXP_SAL,0,2013-03-31,PT,7.1
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,AUTR_GVA_GFA,0,2013-03-31,PT,49.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,AUTR_INV_SAL,0,2013-03-31,PT,42.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,AUTR_SAL_GFA,0,2013-03-31,PT,230.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,AUTR_SAL_TNA,0,2013-03-31,PT,87.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,AUTR_TR_SAL,0,2013-03-31,PT,19.3
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,CSR_DEB_EQT,0,2013-03-31,PT,25.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,CSR_NFA_TNA,0,2013-03-31,PT,22.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,CSR_NW_TNA,0,2013-03-31,PT,37.4
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,CSR_STBB_INV,0,2013-03-31,PT,38.9
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,CSR_TB_EQT,0,2013-03-31,PT,65.7
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,ER_CRM_TE,0,2013-03-31,PT,54.6
RBI:FIN_RATIOS_COUN_RN(1.0),N_A,52,DE,AFY,PREV_YR,2013,2012,ER_ICR,0,2013-03-31,PT,2.0
